Patent_No,IPC_ALL
us20180107235a1,G05G-005/03 | G05G-009/047
us20180088770a1,G06F-003/0481 | B60K-037/06 | G06F-003/0484 | G06F-003/044 | G06F-003/01 | G06F-003/0488
us20180088770a1,G06F-003/0481 | B60K-037/06 | G06F-003/0484 | G06F-003/044 | G06F-003/01 | G06F-003/0488
us20180092184a1,F21V-015/015 | F21V-023/00 | F21V-003/02 | H05B-037/02 | H05B-033/08
us20180075507a1,B60R-016/037 | G07C-005/00 | G06Q-030/06
us20180075752a1,G06K-009/00 | B60T-008/171 | B60T-007/22 | G08G-001/16
us20180096600a1,H04N-005/232 | G08G-001/04 | G08G-001/0967 | B60R-001/00 | G06K-009/00 | G08G-001/16
us20180095590a1,G01C-021/36 | B60W-050/16 | G06F-003/14 | G06F-003/0338 | G06F-003/01 | G06F-003/041
us20180082500a1,B60R-021/01 | B60R-021/00 | G07C-005/00 | B60R-001/00 | B60W-040/10 | G06K-009/46 | G06Q-040/08 | B60R-021/0132 | G07C-005/08
us20180082500a1,B60R-021/01 | B60R-021/00 | G07C-005/00 | B60R-001/00 | B60W-040/10 | G06K-009/46 | G06Q-040/08 | B60R-021/0132 | G07C-005/08
us20180081029a1,G01S-013/18 | G01S-013/70 | G01S-013/93 | G01S-007/282
us20180084394a1,H04W-080/12 | G07C-005/08 | B60Q-009/00 | H04M-001/725 | H04L-029/08 | H04W-004/20
us20180082383a1,G06Q-030/02 | G01C-021/34 | G06Q-010/06 | G01C-021/26 | G08G-001/0968 | G08G-001/00 | H04W-004/04 | G06Q-040/08
us20180088693a1,G06F-003/0482 | G06F-003/0488 | G06F-003/0484 | B60K-035/00 | G06F-003/0362 | G06F-003/041 | G06F-003/0354
us20180081359a1,B60W-040/08 | B60W-040/09 | B60W-050/08 | G05D-001/00
us010004981b2,A63F-013/803 | A63F-013/245 | A63F-013/2145 | A63F-009/24
us20180091324a1,H04L-029/08 | B60R-016/023 | H04B-003/54 | H04L-012/40 | H04L-012/18
us09961532b2,H04W-024/08 | H04B-001/08 | H04H-060/51 | H04H-060/25 | H04H-060/43 | H04W-008/00
us010074280b2,B60K-035/00 | G08G-001/16 | B60Q-001/00
us20180102054a1,H04L-029/06 | H04W-012/12 | H04W-012/10 | H04W-004/00 | G08G-001/16
us20180102054a1,H04L-029/06 | H04W-012/12 | H04W-012/10 | H04W-004/00 | G08G-001/16
